106411	36000	1	100201	NULL	20200424095320	包年	0	20200424095320	20210424095320
309340	99	1	100201	NULL	20200424211717	新用户特惠	0	20200424211717	20200524211717
309340	36000	1	100201	NULL	20200424104251	包年	0	20200424104251	20210424104251
347113	36000	1	100201	NULL	20200424090028	包年	0	20200424090028	20210424090028
374861	3000	1	100201	NULL	20200424212407	更优惠更省心	0	20200424212407	20200524212407
588252	600	0	11034065927	我们永不言弃	20200424212937	NULL	7	20200424212937	20200426212937
1039966	3000	1	100201	NULL	20200424113704	更优惠更省心	7	20200425163232	20200525163232
1039966	3000	1	100201	NULL	20200424113705	更优惠更省心	0	20200425163232	20200525163232
1285240	99	1	100201	NULL	20200424144956	新用户特惠	0	20200424144956	20200524144956
1285240	99	1	100201	NULL	20200424145055	新用户特惠	7	20200424145055	20200524145055
1285240	3000	1	100201	NULL	20200424145055	更优惠更省心	0	20200424145055	20200524145055
83926	250	0	11033150249	冰雪奇缘2（普通话）	20200424204448	NULL	7	20200424204448	20200426204448
89337	3000	1	100201	NULL	20200424211546	更优惠更省心	0	20200424211546	20200524211546
154543	36000	1	100201	NULL	20200424172840	包年	0	20200424172840	20210424172840
273858	36000	1	100201	NULL	20200424153144	包年	0	20200424153144	20210424153144
311671	36000	1	100201	NULL	20200424085433	包年	0	20200424085433	20210424085433
412634	3000	1	100201	NULL	20200424074701	更优惠更省心	0	20200424074701	20200524074701
412634	3000	1	100201	NULL	20200424075037	更优惠更省心	7	20200424075037	20200524075038
412634	3000	1	100201	NULL	20200424075038	更优惠更省心	0	20200424075037	20200524075038
412634	3000	1	100201	NULL	20200424075009	更优惠更省心	0	20200424075009	20200524075009
471141	3000	1	100201	NULL	20200424213042	更优惠更省心	0	20200424213042	20200524213042
592142	36000	1	100201	NULL	20200424200525	包年	0	20200424200525	20210424200525
1000281	3000	1	100201	NULL	20200424185912	更优惠更省心	0	20200424185912	20200524185912
1076415	3000	1	100201	NULL	20200424120603	更优惠更省心	7	20200425220034	20200525220034
1076415	3000	1	100201	NULL	20200424120603	更优惠更省心	0	20200425220034	20200525220034
1113466	36000	1	100201	NULL	20200424164839	包年	0	20200424164839	20210424164839
1138369	3000	1	100201	NULL	20200424115510	更优惠更省心	7	20200425193706	20200525193706
1138369	3000	1	100201	NULL	20200424115511	更优惠更省心	0	20200425193706	20200525193706
1262648	4980	1	100201	NULL	20200424045931	NULL	7	20200424045931	20200524045931
72492	36000	1	100201	NULL	20200424140747	包年	0	20200424140747	20210424140747
346103	3000	1	100201	NULL	20200424122507	更优惠更省心	7	20200425105321	20200525105321
346103	3000	1	100201	NULL	20200424122508	更优惠更省心	0	20200425105321	20200525105321
394726	3000	1	100201	NULL	20200424101627	更优惠更省心	7	20200425184314	20200525184314
394726	3000	1	100201	NULL	20200424101627	更优惠更省心	0	20200425184314	20200525184314
398223	3000	1	100201	NULL	20200424115143	更优惠更省心	0	20200424115143	20200524115143
398223	3000	1	100201	NULL	20200424115313	更优惠更省心	0	20200424115312	20200524115312
398223	3000	1	100201	NULL	20200424115232	更优惠更省心	0	20200424115232	20200524115232
398223	3000	1	100201	NULL	20200424115312	更优惠更省心	7	20200424115312	20200524115312
439051	3000	1	100201	NULL	20200424141420	NULL	7	20200425172634	20200525172634
502527	3000	1	100201	NULL	20200424231700	更优惠更省心	0	20200424231700	20200524231700
663343	36000	1	100201	NULL	20200424104039	包年	0	20200424104039	20210424104039
773091	36000	1	100201	NULL	20200424134513	包年	0	20200424134513	20210424134513
1008225	3000	1	100201	NULL	20200424112843	更优惠更省心	7	20200425234329	20200525234329
1008225	3000	1	100201	NULL	20200424112843	更优惠更省心	0	20200425234329	20200525234329
1052310	99	1	100201	NULL	20200424172441	新用户特惠	0	20200424172441	20200524172441
92792	36000	1	100201	NULL	20200424154506	包年	0	20200424154506	20210424154506
92792	36000	1	100201	NULL	20200424134942	包年	0	20200424134942	20210424134942
92792	36000	1	100201	NULL	20200424154411	包年	0	20200424154411	20210424154411
92792	36000	1	100201	NULL	20200424154717	包年	0	20200424154717	20210424154717
145587	12000	1	100201	NULL	20200424155455	包季	0	20200424155455	20200723155455
145587	4980	1	100201	NULL	20200424155511	NULL	0	20200424155511	20200524155511
145587	4980	1	100201	NULL	20200424155734	NULL	7	20200424155752	20200524155752
146314	4980	1	100201	NULL	20200424142531	NULL	0	20200424142531	20200524142531
240637	3000	1	100201	NULL	20200424225711	更优惠更省心	0	20200424225711	20200524225711
259983	36000	1	100201	NULL	20200424154014	包年	0	20200424154014	20210424154014
440203	99	1	100201	NULL	20200424113002	新用户特惠	0	20200424113002	20200524113002
558841	150	0	2236710	小黄人大眼萌	20200424194558	NULL	7	20200424194558	20200426194558
564740	36000	1	100201	NULL	20200424125806	包年	0	20200424125806	20210424125806
628705	3000	1	100201	NULL	20200424115455	更优惠更省心	7	20200425190926	20200525190926
628705	3000	1	100201	NULL	20200424115455	更优惠更省心	0	20200425190926	20200525190926
787507	61600	2	100206	NULL	20200424005428	包年	7	20200424005503	20210424005503
817869	150	0	11012499439	速度与激情8（普通话）	20200424223452	NULL	7	20200424223452	20200426223452
929986	3000	1	100201	NULL	20200424105414	更优惠更省心	7	20200425215712	20200525215712
929986	3000	1	100201	NULL	20200424105415	更优惠更省心	0	20200425215712	20200525215712
990381	3000	1	100201	NULL	20200424102321	更优惠更省心	7	20200425163223	20200525163223
990381	3000	1	100201	NULL	20200424102322	更优惠更省心	0	20200425163223	20200525163223
1259412	500	0	11033150249	NULL	20200424141751	NULL	0	20200424141751	20200426141751
1259412	500	0	11033150249	冰雪奇缘2（普通话）	20200424141751	NULL	1	20200424141751	20200426141751
223368	99	1	100201	NULL	20200424230030	新用户特惠	0	20200424230030	20200524230030
295331	3000	1	100201	NULL	20200424202313	更优惠更省心	0	20200424202313	20200524202313
